                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.2156,                 2.5659,                 1.6125,                0.50484,                0.46891,                0.48568,                0.31916,                 1.4088,                 2.1356,                 1.7865,              0.0093466,              0.0093466,              0.0093466
                     69,                 1.2049,                 2.5461,                 1.6043,                0.50877,                0.46481,                0.50307,                0.33325,                 1.4027,                 2.1535,                 1.7895,              0.0093367,              0.0093367,              0.0093367
                     70,                  1.209,                 2.5744,                 1.6133,                0.51114,                0.44871,                0.51138,                0.34254,                 1.3942,                 2.1566,                  1.783,              0.0093268,              0.0093268,              0.0093268
                     71,                 1.2162,                 2.5539,                 1.6098,                0.47238,                 0.4779,                0.51313,                0.34471,                 1.3819,                 2.1514,                 1.7781,              0.0093169,              0.0093169,              0.0093169
                     72,                 1.2012,                 2.5304,                  1.599,                0.47723,                 0.4792,                0.52792,                0.35114,                 1.3739,                  2.132,                 1.7726,               0.009307,               0.009307,               0.009307
                     73,                 1.2049,                 2.5225,                 1.6028,                0.53094,                0.49006,                0.52672,                0.35315,                 1.3797,                 2.1129,                 1.7766,              0.0092971,              0.0092971,              0.0092971
                     74,                 1.2025,                 2.5184,                 1.6062,                0.53847,                0.47155,                0.51749,                 0.3491,                  1.374,                 2.1038,                 1.7692,              0.0092872,              0.0092872,              0.0092872
                     75,                 1.2029,                 2.5101,                 1.6035,                 0.5287,                0.45347,                 0.5087,                0.34501,                 1.3592,                 2.0865,                  1.749,              0.0092773,              0.0092773,              0.0092773
                     76,                 1.1997,                 2.5002,                 1.6009,                 0.5471,                0.44635,                0.50371,                0.34109,                  1.371,                 2.0812,                   1.76,              0.0092674,              0.0092674,              0.0092674
                     77,                 1.1923,                 2.4908,                 1.5945,                0.52731,                0.44803,                0.51172,                0.34953,                 1.3714,                 2.0718,                   1.76,              0.0092575,              0.0092575,              0.0092575
                     78,                 1.1958,                 2.4921,                 1.5958,                0.50268,                0.47491,                0.52634,                0.35652,                 1.3697,                 2.0631,                 1.7589,              0.0092476,              0.0092476,              0.0092476
                     79,                 1.2028,                 2.4781,                 1.6002,                0.51117,                0.46637,                0.52534,                0.35365,                 1.3696,                  2.058,                 1.7648,              0.0092377,              0.0092377,              0.0092377
                     80,                 1.1921,                 2.4715,                 1.5905,                0.50935,                0.48124,                0.53388,                 0.3622,                 1.3718,                 2.0509,                 1.7658,              0.0092278,              0.0092278,              0.0092278
                     81,                 1.1844,                 2.4563,                 1.5871,                 0.4916,                0.49254,                0.53267,                0.36037,                 1.3747,                 2.0465,                 1.7671,              0.0092179,              0.0092179,              0.0092179
                     82,                 1.1937,                 2.4696,                 1.5954,                 0.4919,                0.47913,                0.53144,                0.35836,                 1.3821,                 2.0334,                 1.7731,               0.009208,               0.009208,               0.009208
                     83,                 1.1953,                 2.4562,                 1.6003,                 0.4992,                 0.4933,                0.53897,                 0.3602,                 1.3736,                 2.0227,                   1.76,              0.0091981,              0.0091981,              0.0091981
                     84,                 1.1868,                 2.4423,                 1.5856,                0.51211,                0.49397,                 0.5426,                 0.3674,                 1.3688,                 2.0137,                 1.7522,              0.0091882,              0.0091882,              0.0091882
                     85,                 1.1817,                 2.4219,                 1.5836,                0.46923,                0.50517,                0.54261,                0.36564,                  1.361,                 2.0152,                 1.7445,              0.0091783,              0.0091783,              0.0091783
                     86,                 1.1772,                 2.4215,                 1.5822,                 0.4931,                0.49496,                0.54126,                 0.3679,                 1.3629,                 2.0231,                 1.7417,              0.0091684,              0.0091684,              0.0091684
                     87,                  1.187,                 2.4249,                 1.5887,                0.48977,                 0.4884,                0.53455,                0.36325,                 1.3642,                 2.0203,                 1.7433,              0.0091585,              0.0091585,              0.0091585
