                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 1.1049,                 2.4888,                 1.5447,                0.62287,                0.47399,                0.58857,                0.41547,                 1.1528,                 2.0955,                 1.5688,              0.0095842,              0.0095842,              0.0095842
                     45,                  1.108,                 2.4794,                 1.5458,                0.57216,                0.50511,                0.55159,                0.39518,                 1.1819,                 2.0513,                 1.5849,              0.0095743,              0.0095743,              0.0095743
                     46,                 1.1012,                 2.4856,                 1.5404,                0.49509,                0.54106,                0.55739,                0.40283,                 1.1511,                 2.0196,                 1.5691,              0.0095644,              0.0095644,              0.0095644
                     47,                 1.1093,                 2.4461,                 1.5391,                0.55955,                0.52404,                 0.6081,                0.42786,                 1.1869,                 2.0249,                 1.5913,              0.0095545,              0.0095545,              0.0095545
                     48,                 1.1006,                 2.4403,                 1.5371,                0.65139,                0.47906,                 0.5933,                 0.4183,                 1.1769,                 2.0411,                 1.5949,              0.0095446,              0.0095446,              0.0095446
                     49,                 1.0981,                 2.4365,                 1.5382,                0.53935,                0.51828,                0.59714,                0.42891,                 1.1854,                 2.0395,                 1.6038,              0.0095347,              0.0095347,              0.0095347
                     50,                 1.0926,                 2.4097,                  1.528,                0.53837,                0.51263,                0.57556,                0.40863,                 1.1763,                  2.015,                 1.5912,              0.0095248,              0.0095248,              0.0095248
                     51,                 1.0849,                 2.3982,                 1.5225,                0.43437,                0.59003,                0.59707,                0.42061,                  1.165,                 1.9827,                 1.5725,              0.0095149,              0.0095149,              0.0095149
                     52,                 1.0844,                  2.373,                 1.5174,                0.51596,                0.52952,                0.58224,                0.40775,                 1.1797,                 1.9935,                 1.5835,               0.009505,               0.009505,               0.009505
                     53,                 1.0823,                 2.3905,                 1.5162,                0.55318,                0.55376,                0.61601,                0.42646,                 1.1583,                 1.9837,                 1.5562,              0.0094951,              0.0094951,              0.0094951
                     54,                  1.082,                 2.3635,                 1.5177,                0.57944,                 0.5395,                0.60441,                0.43341,                 1.1676,                 1.8835,                 1.5725,              0.0094852,              0.0094852,              0.0094852
                     55,                 1.0711,                 2.3456,                 1.5106,                0.54723,                0.55304,                0.60608,                0.43919,                 1.1622,                 1.9241,                 1.5702,              0.0094753,              0.0094753,              0.0094753
                     56,                 1.0705,                 2.3511,                 1.5111,                0.56069,                0.57557,                0.60413,                0.43102,                 1.1653,                  1.925,                  1.565,              0.0094654,              0.0094654,              0.0094654
                     57,                  1.071,                 2.3244,                 1.5086,                0.61187,                0.51641,                0.60953,                0.43444,                 1.1609,                 1.9045,                 1.5625,              0.0094555,              0.0094555,              0.0094555
                     58,                 1.0706,                 2.3019,                 1.5049,                0.60634,                0.54783,                0.59536,                0.41585,                 1.1501,                 1.8617,                 1.5391,              0.0094456,              0.0094456,              0.0094456
                     59,                 1.0643,                 2.3166,                  1.507,                0.62431,                0.53895,                0.58718,                0.42704,                 1.1283,                 1.8997,                 1.5305,              0.0094357,              0.0094357,              0.0094357
                     60,                 1.0579,                 2.2936,                 1.4998,                0.59246,                0.54997,                0.59483,                0.43338,                 1.1211,                 1.8872,                 1.5269,              0.0094258,              0.0094258,              0.0094258
                     61,                 1.0631,                 2.2838,                  1.499,                0.58446,                0.54621,                0.59753,                0.43046,                 1.1074,                 1.8654,                 1.5284,              0.0094159,              0.0094159,              0.0094159
                     62,                 1.0654,                 2.2846,                 1.5024,                0.53227,                0.57414,                0.60149,                0.43379,                 1.1247,                 1.8706,                 1.5444,               0.009406,               0.009406,               0.009406
                     63,                 1.0501,                 2.2492,                 1.4861,                0.59379,                0.54058,                0.60998,                0.45192,                 1.1063,                 1.8634,                 1.5303,              0.0093961,              0.0093961,              0.0093961
                     64,                 1.0524,                 2.2607,                 1.4927,                0.52575,                0.54431,                0.59741,                0.43744,                 1.1074,                 1.8822,                 1.5252,              0.0093862,              0.0093862,              0.0093862
                     65,                 1.0541,                 2.2391,                 1.4862,                0.53116,                0.57518,                0.59585,                0.43413,                 1.0957,                 1.8534,                 1.5176,              0.0093763,              0.0093763,              0.0093763
                     66,                 1.0559,                 2.2474,                 1.4923,                0.55573,                0.57807,                0.59945,                0.44454,                 1.0882,                 1.8685,                 1.5214,              0.0093664,              0.0093664,              0.0093664
                     67,                 1.0541,                 2.2363,                 1.4878,                0.60504,                0.54526,                 0.5964,                0.44719,                  1.088,                 1.8698,                 1.5118,              0.0093565,              0.0093565,              0.0093565
                     68,                 1.0436,                 2.2112,                 1.4814,                0.64513,                0.52962,                0.60613,                0.45058,                 1.0889,                 1.8714,                 1.5095,              0.0093466,              0.0093466,              0.0093466
                     69,                 1.0333,                 2.2052,                  1.471,                0.54747,                 0.5943,                 0.6125,                0.45678,                 1.0908,                 1.8656,                 1.5115,              0.0093367,              0.0093367,              0.0093367
                     70,                 1.0451,                 2.2115,                 1.4835,                0.51882,                0.56965,                0.59994,                0.44035,                 1.0821,                 1.8633,                 1.4918,              0.0093268,              0.0093268,              0.0093268
                     71,                 1.0456,                 2.1881,                 1.4794,                0.53782,                0.60021,                0.61142,                0.44952,                 1.0765,                 1.8542,                 1.4863,              0.0093169,              0.0093169,              0.0093169
                     72,                 1.0344,                 2.1765,                 1.4706,                0.59783,                0.57088,                0.62371,                0.45879,                 1.0797,                 1.8632,                 1.4882,               0.009307,               0.009307,               0.009307
                     73,                 1.0283,                 2.1647,                 1.4644,                0.63609,                0.54354,                   0.63,                0.46343,                 1.0822,                 1.8469,                   1.49,              0.0092971,              0.0092971,              0.0092971
                     74,                 1.0305,                 2.1644,                  1.475,                0.58223,                0.57039,                0.62535,                0.45652,                 1.0739,                 1.8163,                  1.485,              0.0092872,              0.0092872,              0.0092872
                     75,                 1.0255,                 2.1431,                 1.4608,                0.70792,                0.52636,                0.62623,                0.46843,                 1.0714,                 1.8153,                 1.4845,              0.0092773,              0.0092773,              0.0092773
                     76,                 1.0284,                 2.1408,                 1.4634,                 0.6947,                0.52675,                0.62753,                0.46248,                   1.07,                 1.8123,                 1.4771,              0.0092674,              0.0092674,              0.0092674
                     77,                 1.0218,                 2.1263,                 1.4531,                0.71691,                0.49684,                0.62594,                0.46534,                 1.0701,                  1.811,                 1.4777,              0.0092575,              0.0092575,              0.0092575
                     78,                 1.0251,                 2.1209,                 1.4586,                 0.7095,                 0.4984,                0.62469,                0.46374,                 1.0656,                 1.8148,                 1.4736,              0.0092476,              0.0092476,              0.0092476
                     79,                 1.0288,                 2.1175,                 1.4619,                0.59508,                0.54689,                0.62236,                0.46579,                 1.0676,                 1.8037,                 1.4729,              0.0092377,              0.0092377,              0.0092377
                     80,                  1.021,                 2.1048,                 1.4558,                0.60885,                0.55281,                0.62614,                0.46565,                 1.0703,                 1.7904,                 1.4745,              0.0092278,              0.0092278,              0.0092278
                     81,                 1.0081,                 2.0892,                 1.4482,                0.57817,                0.59151,                0.62733,                0.46862,                 1.0763,                 1.7879,                 1.4871,              0.0092179,              0.0092179,              0.0092179
                     82,                 1.0274,                 2.1042,                 1.4634,                0.59256,                0.56308,                0.63144,                0.47604,                 1.0796,                 1.7937,                 1.4883,               0.009208,               0.009208,               0.009208
